frame,matches,cx,cy,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,kcx,kcy,ktl_x,ktl_y,ktr_x,ktr_y,kbl_x,kbl_y,kbr_x,kbr_y
43,143,314.15918,215.94348,368.1909,337.18167,260.353,328.59653,370.89633,98.67265,270.8173,118.33949,310.90814,217.64542,363.42532,326.68896,252.25166,338.1834,365.88077,106.17355,257.86404,107.12358
44,138,315.21698,215.44772,371.71567,350.57922,268.74966,320.0174,372.71738,87.72129,277.22754,124.26072,311.95532,217.3022,364.48654,332.44202,256.81772,334.3265,367.12695,101.745384,263.5837,110.90693
45,139,316.59555,214.90009,360.4791,322.05634,256.81815,340.85068,366.31754,111.51294,266.81873,92.92369,313.51282,216.57542,362.74722,330.859,258.17148,335.79837,366.7361,103.41312,266.38474,106.79353
46,139,317.41034,214.65268,357.28345,314.3679,256.54623,345.36484,366.33313,110.910164,266.83926,87.71716,315.13196,215.87398,360.32156,327.19415,259.24036,338.41946,366.3877,104.93892,268.84317,101.43509
47,137,317.72824,214.63187,355.99268,308.65012,254.81374,351.93878,364.38132,114.12356,260.8447,74.360954,316.421,215.46133,358.01285,322.12866,259.35922,342.58426,365.5926,107.31917,268.83365,92.97506
48,139,318.76147,214.74399,356.52008,319.87164,262.83496,336.82706,367.6627,109.34089,274.49606,91.04059,317.69296,215.19753,356.38855,320.89215,261.4505,341.84207,365.8787,108.06524,272.22626,90.54905
49,127,319.8437,213.5085,361.92197,338.2685,269.9164,329.40787,368.3946,102.2045,285.40326,111.00842,318.90646,214.7193,356.7677,325.17105,265.01868,338.95486,366.3811,106.64024,277.85144,94.502075
50,129,320.34357,212.42424,344.68057,283.20853,236.0555,401.21786,358.77988,127.46565,144.21413,-301.6798,319.55072,214.46849,352.39935,313.28317,258.24286,356.73544,364.11658,112.552124,242.35677,-18.497173
51,136,320.36566,212.96942,353.12286,317.15814,263.9059,329.97723,374.13855,102.84347,280.07114,84.280205,320.04526,214.90227,351.47977,313.13132,260.1114,351.39648,366.5182,110.53251,250.6608,-2.6566672
52,134,320.60712,212.70772,355.87216,308.4284,259.3621,346.64853,367.01538,112.483696,269.91537,74.599236,320.69754,214.4683,351.41885,310.60236,260.4725,351.43454,366.61615,111.44989,254.91187,7.8873844
